review_description,rating
برنامج سهل الاستخدام .,1
فعال,1
تجربه حلوه وسريعه ما شاء الله بس للاسف مو كل الاحتياجات موجوده,0
تطييق كويس ويوصلك اطلب اقل من 50 دقيقه,1
صج روعة وفرتوا علينا العنوة و دقدقة التليفونات 😂,1
سرعه وسهوله تعامل وحلهم للمشاكل بشكل سريع شكرا لكم,1
هل يوجد رحلات الي الاسكندرية موميآ والسعر الرحله كام,-1
الحويه,1
التحديث الجديد زباله جدا البرنامج صعب الفتح,-1
ممتاز مع اختار سائقين محترفين فى نقطة الالتقاء لانى لى تعليق بخصوص رحلات الساعة ١١.١٥ بالذات نقطةالتقاء غير معروفة اوالسائق جديد حجزتها مرتين ولم استطع التواصل معاه ودفعت الرحلة مش مشكلة فلوس اد ماهي التأخر على عملي بالT.V وشكرا لكم,1
سريع وممتاز,1
جميل جدااا ولاكن في بعض الأحيان يتاخر,1
اسرع برنامج,1
في سوريا الاذقية,1
Not easy to book,0
روووووووووووووووعه # $ بس ممكن تضيف مصر للبرنامج#,1
جمميل,1
السايق يشل فوق المبلغ,0
كل ماجى ادخل على الموقع يكتب لى حدث خطأ في الاتصال. .. مع أن بتيجى لى إشعارات كثير ... ارجوكم اعمل ايه ؟؟؟؟,-1
ممتازز وأكثر من رائع,1
ممتاز ياريت يبقى في خصومات كتير وتوصيل الي جميع المناطق,1
الطلب يصل بالوقت المحدد,1
انا واحد مش المفروض يكون في كود خصم,-1
تطبيق متميز,1
"صارلي اسبوعين من وصلت الاردن وبهاي المدة استخدمو ماشاء الله اكثر من رائع 
ولامرة اختلفوا معاي . تحياتي",1
التطبيق لايعمل ويطلب تحديث ولا يوجد تحديث متوفر في جوجل بلي ما العمل,1
بقالي يومين بنزلو مش بينزل اعمل اية,1
غ غش ةك زك,1
جيد جدا و سريع في التوصيل,1
so good,1
تخفة,0
عه,1
ررررررررررررررررراااااااااااااااائعععععععععععهعهعههه,1
تطببق زبالة,-1
فشله والطلب يجي متأخر 3 ساعات أنتظره . وتعاملهم سيء والاكل يجي باارد ماله طعم . انصحكم ماحد يطلب منه اتصل بالمطعم يجيبلك أفضل .,-1
التحديث فين على جوجل بلاى زيفد,-1
موقع جميل وسهل استخدام,1
👎👎👎👎,-1
اين الهدية 😂,1
ليشش مافيه القصيم :( I'm very sad,-1
التوصيل غالي وكل اشي أغلى من السعر الأصلي,-1
التطبيق سئ جدآ كل ما اسجل الدخول يقول خطئ فى النظام,-1
تطبيق اصبح سيئ 👎 وكل خصم يتلغي,-1
اتمنى يكون في تنوع في المطاعم اللي في العروض لان اغلبها متكرره ونوعيتها سيئه,1
اسوء شركه نصابه احذر الناس منها تجربه سيئه,-1
فاشل فاشل فاشل فاشل فاشل فاشل فاشل فاشل,-1
جيد لا باس بس لو اطلب من المطعم مباشر يكون التوصيل مجاني اوفر لي😂,1
انتم عجيبينننننننن,1
ماشاالله الذه الاطعمة احسن وااااااااااااااااااد فييييييييي العالممممم,1
جبار,1
حلو جدا انصح بتحميله,1
حاجه زي الزفت ايه الارف دة مش عاوز يدخل التطبيق اساسا انتوا ناس مش محترمين,-1
أوك,1
جيد لاكن الابلكيشن يعلق 🐱,1
والبرنامج رائع جدااااااااا,1
يوفر وقتي وتعبي وتفكيري,1
سهل الاستعمال,0
وسط,-1
برجر كنج و بس,1
النقره,-1
برنامج انتهازي .. الخصومات والعروض الأحتياليه يتم تعويضها برفع السلعه او رفع قيمة التوصيل هذا اسمه نصب واحتيال,-1
So far so Good,1
روعه,1
بتعطوني وجبة أو امشي 😊 ما جربت ولا ابي اجرب,1
اغلب المطاعم و عامل التوصيل لا يتعاملوا باللوكيشن اوحتى العنوان وتقعد ساعة توصف الاماكن و هم قافلين دماغهم و تعاملاتهم سيئة وغير لائقة و ايه فايدة تسجيل البيانات و في الاخر يجيلي واحد يطلع من المطعم يقولي انت فين و المسافة بيني وبين المطعم مش صغيرة و يبقى مش عارف اي حاجة في الشارع و لا عنوان ولا اي حاجة ويقعد يرغي و سبحان الله كلهم عندهم نفس الرد الجي بي اس عطلان طب انا مالي هو يتصل لما يوصل او حتى قرب من المنطقة لتفاصيل اكتر و بقول كدة عشان في مشاكل كانت حتحصل بسبب كدة /كأن المطعم مش في التطبيق,-1
Noo ioo miyjad,-1
This is an excellent future,1
✅👉🏽👍🏼🤪👍🏼🤪👏🏽🤪👉🏽👏🏽👏🏽😂,1
وين الاردن ما في,-1
يوجد توصيل داخل القاهرة من فيصل الى عبد المنعم رياض,1
تطبيق رائع وخدمة جيده الطلب يوصل عالوقت وفريش وحار .. انصحكم فيه,1
تطبيق راااااااااائع جداً,1
التطبيق أصبح سئ جدا وبيسجل دخول بصعوبة وبيفتح بصعوبة ويجيبلي رسالة خطا مية مرة عشان يفتح,-1
بقي سئ جدا جدا .كنت بتعامل مع الاب من سنين . وكان كويس بس حاليا بقيتوا بالحرف وحشييين جدا وكل شويه كود خصم بيجي فين وفين . وحتي لما يستخدمه تبعتوا اي حجه عشان الخصم ميشتغلش واضطر اطلب من غير الخصم . انا مسحت الاب واي حد قولتله ينزله هنصحه انه يمسحه بردو .خساره كنتوا كويسيين جدا فالاول بس للاسف تقريبا مفيش حاجه بتفضل علي حالها . اسوا تجربه مريت بيها سواء في قله الذوق او غيره ومنصحش حد انه يستخدمه,-1
بجد برنامج كويس جدا ياريت يستمر وبالتوفيق بامر الله😍,1
حلوة جميلا,1
تجربه ناجحه معه طلبات احسنتم,1
في لأوقات المحرجه,1
برنامج جداً مفيد و عملي,1
برنامج عادي مفروض علية اسعار اقل من لمة تطلب من المطعم مباشرة,-1
متاز,1
غالي التوصيل و تأخير في توصيل اتمن ترخصون وتسرعون في توصيل 🙂👍,-1
البرنامج فن والله احسن برنامج للطلبات 😙😙😙😙😙😙,1
روووووووعة,1
تطبيق ممتاز وخدمة ممتازة وسرعة في التوصيل,1
جدا رائع ومريح وعملي ويسمح لك بالطلب دون اشتراك مسبقا,1
انا معمولي حظر من عليه اعمل ايه,-1
رفع التسعيرة لديلفري طلبات ... رح احذف التطبيق ولما يرجعو التسعيرة القديمة برجع بنزلو,-1
البرنامج صراحة كثيييير حلوو و رائع و يسهل عملية الطلب أنصح بتحميله 😃👍👌,1
أسوأ خدمة حافلات للمدارس,-1
جاري الإزالة بعد تجربتي لwe pay فالخدمة سيئة جدا.. فهو لا يدعم شحن المحفظة عن طريق فوري أو مصاري.. ياريت تراعوا أن في ناس في أماكن مفيهاش فروع لwe ومفهاش فروع لبنك مصر علشان تشحن.. ويجب مزج we pay مع my we في تطبيق واحد لأن في هواتف مساحتها صغيرة ولا تتحمل أكثر من تطبيق زي ما الشركات التانية بتعمل.. تحياتي,-1
جميل جدا جدا جدا جدا جدا جدا جدا جدا,1
لم أعلم أنه بهذه الطريقه,1
زفت زباله,-1
يعطيكم العافيه البرنامج اكثر من رائع,1
سيء جدا .. الحي الخاص بي ولا مطعم يوصل رغم انه مضاف,-1
انه افضل موقع في العالم لقد اعجبني كثيرا انصح بالتحميله لانه يضيف للوجبات ماتريد و اي مطعم تريده وهو منتشر في العالم كله,1
انا تجربتى معاه كانت كويسه بس مشكلتى ان مفيش مواعيد بدرى يا ريت لو يحطوا مواعيد الساعه سبعه يوم السبت للحصرى,1
كويس,-1
بصراحه برنامج جميل كثير عجبني🤗,1
كان في بدايات التطبيق ممتاز لكن اصبح جدا سئ الان تطلب وبعد ساعة تتصل عليهم يقولولك نأسف م وصل طلبك للمطعم اجل اش شغلتكم انتم وغير كذا لما يوصل الطلب للمطعم تنتظر لأكثر من ساعة ونص ويجيك بارد طبعا بعض المطاعم أولهم كودو  يعني لو تخرج وتشتري وارخص وترجع البيت وتاكل وتنام ولسه الطلب م وصل,-1
يجب تطوير طريقة ابراز القائمة والعروض ... وربحت قسيمه ولم استطع ان استخدمها وللاسف شيء يقهر .,0
رائع ومميز جدا جدا,1
مش بيفتح معاية,-1
من افشل البرامج الي استخدمتها هلوفود أفضل،طلبت من المطعم الساعه 8 وصارت الساعه 10 ونص ولحد الحين ما جاء الطلب!,-1
كيف الاستخدام,0
لماذا يظهر تم إيقاف طلبات؟,1
مش شغال 🙂😂,-1
طلبات ماركت بيبعتو اصناف على مزاجهم اكتر من مرة يحصل معايا نفس المشكلة ويجلى اصناف غير الى بطلبها خدمة سيئة وكمان مفيش امكانية ارسال صور فى المحادثة بتاعة خدمة العملا بيقلك ابعت على الايميل وهيتم الرد خلال ٢٤ ساعة وانا زنبى ايه يبعتو اوردر غلط وكمان استنى كل دا عشان بس يردو عليا,-1
ايش اوصف هذا التطبيق روعه جميل والله جميل,1
أفضل برنامج للطلبات,1
هل يوجدمرج التجمع والتزكرة كام,1
ممتاز وسريع شكرا,1
جميل يوصلون,1
شرطه,1
خدمه سيئه انا طالب اوردر بقالى اسبوع ومافيش حاجه وصلتنى,-1
روعه البرنامج مريح وانت في مكانك تطلب ويجيك لحدك لا تروح ولا تجي . ❤❤,1
لا يسمح لي انشاء حساب للتطبيق,-1
تطبيق امين ونظيف,1
الطلب عبر البرنامج لاحظت انه أسرع  هذا كلامي سابقا أما الآن تقلصت المطاعم,1
شركة قمه الاحترام بالتوفيق للجميع,1
اجميل جدااا وانصح. بهه,1
ما بنصح ابداااااااا بالدفع عن طريق الفيزا لانه بتم الغاء الطلب وما بتسترد فلوسك وحتى لو تواصلت مع قسم الشكاوي ما بتم حل الموضوع,-1
احسن تطبيق في العالم,1
خدمه سيئه جدا جدا وأنصح بعدم التعامل معهم خاصه في سلطنة عمان,-1
خدمة ممتازة مع فريق عمل محترم,1
ياسر العنزي: تطبيق جميل جدا جدا وانصح بتحميله,1
اتطبيق حلو وتوصيل سريع بس فيه عيب واحد يالي هو انكم عم تحدد سعر المطعم معين مثلا شوارما حجا لزم نوصيل طلب لي 85 ريال اذا كان اقل من هذا السعر منقدر نطلب لحتى يوصل لسعر الي همها يحددونه شو بيعمل الواحد اذا كان الواحد مافي بجيبته غي ٥٠ ريال او اقل اذا متغيرون هذي القواعد راح نحذف التطبيق,-1
حولي شارع قتيبه,-1
تجربه جيده جدا وشكرا علي العروض الحلوه,1
يعني الواحد طلب سندويشه وحده بقعد سنه عليها,-1
كل ما ادخل ع التطبيق يخرج تلقائي لوحده ممكن اعرف المشكله فين,-1
👍  يحتاج زيادة عدد المطاعم,1
عروض كاذبة,-1
تطبيق روعة قليييييل في حقكم,1
أجمل تطبيق في العالم,1
افضل تطبيق طلب طعام استخدمته,1
اسوء تطبيق تخبط وعدم متابعة,-1
غير جيد ابدا ..,-1
يعني لزم رقم جوال ولا عادي ارجوكم ردو علي,-1
ماذا يعني talbat pay هل ان الاكل مجاناً,1
تطبيق سئ بكل ماتعنيه الكلمه,-1
البرنامج مرة جميل بس لو يكون اشمل مثلا في مكة,1
مريح,1
لم يفتح التطبيق .,-1
مش عارف أتعامل معه لأنه له مواعيد محدده وأنا خارج التغطية بالنسبة له مع العلم أني أرى الباصات موجوده عندي وماشين,0
تطبيق جميل احسن حاجه عملتها وى فى تاريخها,1
لحد ما,0
خدمات ممتازه ..,1
جربت التطبيق فترة و كانت جيدة في البداية و لكن يو عن يوم بدء بالتاخر بدل من التقدم ..منها عدم الاستجابة الى ملاحظات و التاخر في التوصيل و عدم الجواب لاتصال و غيرها .,-1
نصااابين باقه الوي فاي بتخلص ابل دفع الاشتراك ب اسبوع شركه بنت وسخه,-1
🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,-1
مررا حلو ،💕👍 وشكراً,1
التطبيق جدا حلو وسهل ومفيد وانا طلبت من كنتاكي وبيتزا هت وجاني ف أقل من نصف ساعه,1
راع ورخيص :-) :-) :-) :-) :-),1
التطبيق جميل جدا يستاهل ال 5 نجوم,1
تجربه تجربه فاشله عندي مشكله مفيش حد اتوصل معاياطلبت نص كفته حسبوني علي كليو,-1
رؤؤؤعه,1
@ض@ةرآجاتعن6yu7u,0
وحش جدا جدا ومش عايز يعمل تسجيل دخول,-1
حلو وتحسن وايد,1
تجربة وفكرة رائعة فى توفير الوقت والحفاظ على المواعيد جميل فى كل شيئ,1
ممتاز وانا سعيد بستخدامي برنامج Talbot,1
عالمي,1
ممتاز جدا بس ي ليت يكونون اسرع شوي,1
لا توجد مصداقيه بالاضافه لأغلب العروض وهميه ولايبذلون القدر الكافى من التحقق من المطاعم . وتكرار مشكله الانتظار أكثر من ساعه ثم إلغاء الاوردر,-1
كنت عايزة اعرف هل متاح عربيات ل7راكب,1
كنت هطلب واما انا اخترت رحت اشوف تانى الانا طلبته ملاتهوش موجود,-1
موقع ممتاز جداً,1
ظظككگك,-1
بطيئ التوصيل,-1
تمام.,1
بپ سيشرع ذغذءذق@,1
علييي,-1
برنامج سئ للغايه طلبت اوردر توصيل مجاني اتفاجأت ان ضايف ٣٦ جنيه توصيل وطلبت طلبات من طلبات مارت جابلي الاوردر مختلف خالص ومش بيلغو الاوردر رغم انه الغلط من عندهم,-1
Very good delivery,1
شركه نصابه وشويه حراميه,-1
❌,-1
راعا,1
برنامج ممتاز وسلس ومريح جدا وكل المطاعم الموجوده فيه ملتزمه بالتوقيت وفي حال اي تأخير يتم الاعتذار من قبل المطعم,1
اقيمك صفر طلبات الاردن كذب والغاء طلب بعد ساعه ونص والكل راح يلغي طلبات,-1
عجييب 😊,1
الصراحه يستاهل اكثر من5نجوم,1
اسهل من كدا مفيش,1
زين التطبيق بس يتأخر شوي,1
البرنامج سهل 😍,1
هل يوجد كود خصم ارجو الرد 🇯🇴🇯🇴🇯🇴🇯🇴😁من الاردن,1
مصاريف الدليفري غاليه الثمن جدا فلو ذهبت الى المطعم بنفسي بالمواصلات لم اتكلف كل هذا المال,-1
والله العظيم حاولت اطلب من هارديز م جاني طلبت من الساعه 8 إلى الآن م جاني سويت إبلاغ و كدب لحد يطلب من مطعم هارديز النجمه مع فن التطبيق,-1
والله كدا مينفعش بطلب الاوردير يقولي تعذر الطلب,-1
سئ جدددددددددددددددددددددا,-1
😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘,1
مرررا ككويسس لازم كل يوم يومين اططلب منه اهنيككم صراححه 🙂,1
عروض المشترك للمرة الأولى وهمية...يوجد اعلان حالى لخصومات المشترك لأول مرة بكود 77...ولا يوجد فى التطبيق إمكانية لإدخال الكود اساسا,-1
تطبيق جيد ولكنه يتوقف عن العمل في بعض الاحيان,1
بجيهم الاكل لحد باب البيت ومش عاجبهم الناس مضلش غير نوديهم علحمام ههههه,1
ممتاز والاسعار جيده باصات ممتاز ومكيفه,1
برنامج فاشل جدا مفيش خطوط ومحدد مكان في الرحاب بيقولي روح اقابل العربيه ف قها طب ما انا لو وصلت هناك هحتاجكم ليه,-1
ابن كلب,-1
زفت كل ما اطلب مشوارى من العصافرة الى 21 العجمي مش بيجيبلى عربيه,-1
لا يوجد وسيلة تواصل والموظفين لا يستجيبون,0
يعنى مش,1
شركة راقية ومحترمة  و تراعي الضوابط الصحية,1
بيقولي مبنجيش المنطقه الي انت فيها ده برنامج ابن وسخه,-1
شركه رأس ماليه سيئه بالتعامل مع الدرايفر,-1
للأسف ما يوصل طلبات عندنا 😭,-1
انا وصلني الطلب,1
كلو كذب لانو ما عم ينزل عندي 😤😤😤,-1
الخدمة جدا جميلة,1
خدمه متميزه ومواعيد مظبوطه وكابتن محترف,1
عايز اسجل كابتن معايا عربيه ملاكي,1
💛🌞، 🥀🖤، 🤡💔، شوضعيي بس الصراحهه حلو التطبيق 🤡.,1
مايشتغل ويطول بتسجيل الدخول والتسجيل,-1
جميللللللللللللللللللللل,1
انترنت غير محدد,-1
طلبات دوت كم جميل جداا توصيل سريع,1
هيل جدا,1
nays,1
والله حلو بس المشكله الحد الادنى لاني اطلب شي بسيط,1
So f**ken bad,-1
لايوجد تواصل من خدمة العملاء,-1
شباب محترمه جدا بس بلاش تطلب من منتجات أمريكان عشان بتاخر جامد مش عارف اشمعنا,1
بعد التعليقات السابقه للسادة المحترمين عند وصول نسبه التحميل الي 50٪ تم الغاء تنزيل البرنامج شكرآ للسادة علي التنبيه انه برنامج غير جيد استفد كتير من التعليقات,-1
اطقع موقع شفته ابن سته وستين كلب,-1
مميزه,-1
قبل كان البرنامج من احسن مايكون بس للاسف في الاونه الاخيره البرنامج فاشل بسبب عدم المتابعه للمطاعم في طور تنفيذ الطلب واضافة البرنامج مطاعم فاشله مثل كبابجي بتاخير الطلبات ومطعم روميه وطلبي من الساعه 1:30 ماوصل الطلب الا الساعه 4:00 وعيالي كل واحدالسانه وصل ركبته كن اليوع بس ماقول الا بلووووووك,-1
تطبيق سئ جدا ومفيش عروض بتجيلى,-1
وش اخبارك,-1
مطاعم تحت بير السلم وعملنها مطاعم ودعاية فروق فى الأسعار عن سعر البرنامج كله نصب فى نصب,-1
اكره ذلك كريه جدا  جدا جدا جدا,-1
Amazing App,1
تطبيق فاشل صار في منافسين افضل منهم بيضحكوا على الناس ضاقوا ضريبه جديده على الطلب فرق بينه وبين دليفري المطعم أكثر من نصف دينار لا انصح بتنزيله,-1
ممتاز جدا استمروا بذالك,1
بجرب تو,1
شكرا لكم على الخدمة الرائع،شكرا طلبات,1
تطبيق روعه وجميل وطلبك يوصلك ب اسرع وقت,1
لا اعلم,1
أكثر من ممتاز ريحتو الناس كل شي بغيته موجود شكرآ لكم       لو اتظيفون مطاعم الفنادق أربع أو خمس نجوم يكون روعه 🖒,1
أول مره اجربه,1
جمييييييييل,1
احسن برنامج وسرع برنامج فل رد ومواظفين مافي مثلهم في اسلوبهم برد,1
بارك الله فيكم,1
تعيس جدا,-1
سيى,-1
سويفل,-1
واااااااااااااااااااااااااااااو جميل,1
تجربة ناجحة وكان موجود برومو كود تخفيض,1
مفيش لغة عربية فى الابلكيشن ومش فاهم شغال ازاى,0
برنامج زباله كل ما اجي اكتب رقم يقالي رقم لازم ١١ او ١٢ او١٥ مع علم انا كتابه رقمي صح طلبت اكتر من مره وع نفس وضع برنامج زباله زي اللي عملوها،,-1
طلبات ليش التوصيل من kfc 7.50 ليش تضحكون علينا و تقول في خصم ٥٠% على الطلبت وانت رافع السعر يعنى مثل عصير برتقال ٥ دراهم في المحل و طلبات تبيع في ٢٠ dhs ليش و تقول خصم ٥٠% هههه ترافع في السعر لو في تقيم اقل من واحد,-1
اقوي برنامج توصيل,1
ممتاز لأبعد حدود,1
تحيا,1
الصراحه هو التطبيق الوحيد الي استعمله ووايد حلو😍,1
ممتاز جدا خدمات توصيل سريعه وفي أي مكان برنامج ممتاز للغاية,1
التطبيق سئ ... طلبت اليوم من مطعم .. تم موافقه طلبي وانسحب المبلغ ... وانتظرت اكثر من ساعة .. وبعد ما تواصلت معهم قال الطلب ملغي ... لانه موقعك خارج الحدود 👎,-1
❤❤❤بجنن,1
تطبيق جميع العاملين فيه حرامية ومحتالين ونصابين من اكبر واحد لي اصغر واحد وكبيرهم الحرامي القواد الكبير اطلب باليوم أكثر من ٥ مرات من أماكن مختلفة والأخر يحطوني بلوك عشان أطالب بحقي الله لايوفقكم ياخنازير الخنيث اللي حطني بلوك ابن النغول,-1
فاشل مره البرنامج ما يوصل الطلب غير بعد ٥ ساعات ايش,-1
في رحلة بتاريخ 13/8/19. قام السائق بازعاجنا بصوت الاغاني المرتفع و لم يهتم للشكاوي و السائق لا يعرف كيفية استخدام الGBS و استعان باحد الركاب لبلوغ وجهته و في نصف الطريق قام احد الراكبين و امر السائق باخذ يوترن ودخول طريق العجمي لتوصيله شاطئ النخيل.و بعدما كنا نبتعد عن وجهتنا 10د فوجئنا بعودته لتوصيلهم للعجمي مع العلم انها ليست نقطة في الرحلة وبدون الرجوع لنا و قام بالدخول الي طرق مهجورة مما سبب لنا الذعر و للركاب الاجانب الذين ظنوا انه اختطفهم. و تواصلنا مع الشركة و اخطرناهم بما حدث. برجاء التدخل,-1
مممممممممممتاو جدددا اشكركم,1
انا فى سيدى جابر البحر لماذا لايكون لكم وقوف فى س يدى جابر أو كليوباترا البحر أقصد لاتوجد محطات للتوقف على البحر بطول الكورنيش لماذا,1
مقبولة,0
والله البرنامج حلوة,1
التطبيق عند تسجيل الدخول ، تظهر لي رساله مفادها أني أستخدم Vpn و لا يمكن دخولك و أنا لا أستخدم,-1
اكسب,1
جيدجدا,1
تسهيل للوقت,1
ترا ما عرفت أدخل عليه ساعدوني بليز,1
انا قرات التعليقات كلها سلبيه,-1
الاسعار  الملزمه لحد الطلب خياليه نوعا ما,1
الابليكشين كان حلو ومريح دلوقتي بقي سخيف بيجوا قبل الميعاد بساعه ويلغوا الرحله ونكون رتبنا حالنا علي الرحله دي تعطيل لشغل الناس وحاجه تزهق,-1
التطبيق جيد لاكن طلبت بيتزا وتاخر جدا ولسة موصلني الطلب😳,0
التوصيل سريع والطيار ممتاز,1
الاوردر بيتاخر كتير ب الساعه والساعتين,-1
لايستجيب,-1
موقع جدا ممتاز,1
هل بيعمل فيزا اقدر استخدمها في اي حاجة زي فودافون كاش؟؟؟,-1
سيء وصل الأكل  من كودو بااارد    دو بارد,-1
البرنامج حلو بس لو تحطون تحديد الموقع يكون افضل,1
مفيش خصم على اول طلب و بعدين كان ١١دقيقة بقى ٢٨ دقيقه,1
جااااااااااااااامد,1
خوش برنامج بس لو ما يتاخر المطعم 💔,1
مرحباً...اخي الفاضل اعجبني التطبيق ولكن توجد صعوبة في تحديد موقع توصيل الطلبية لذلك اضف إلى قائمتك 'تحديد موقعي' لمعرفة مكان التوصيل...وأيضاً اضافة موقع ولاية صحم لتواجده مطعم كنتاكي... وشكراً,1
ورع,1
شكرا لانكم معنا,1
بجننننننننننننننننن,1
🦓🗿,1
ليه بس يطلع لي مطعم واحد اللي هو بيتزا هت والتوصيل لازم فوق40؟ والباقي فين؟ انا نزلت تطبيق ثاني طلع لي مطعمين هارديز وكنتاكي!  ارجوا اضافة باقي المطاعم وتخفيض الحد الأدنى للتوصيل!,-1
صايرسي جدا عندما في صحار.. والسبب ان السائقين ياخذون تكثر من لطبيه ف يتاخر كثير انه يوصل الطلبيه وتوصل بارده... صراحه صار برنامج سي جدا,-1
تطبيق سيء انا طلبت وجاي طلب ثاني و اشتكيت ما رجعولي المبلغ,-1
لم يريد تنزيل آخر إصدار للبرنامج ع هاتفى,-1
برنامج قذر,0
حميل جدا وحلو,1
😘😒👒👑👑👑👑👑,1
jhu,1
اسطووووووووووووووووووووووووووووي,1
مش بيفتح,-1
مره تطبيق حلو ويسهل على الشخص الي يبي يطلب بس مافي عنده سياره ♥,1
الاكل باارد و الخبز قديم و ناقصة الطلبية losers,-1
I lov it,1
غير مفيد,-1
اعجبني البرنامج,1
خدمة ممتازة,1
خدمة العملاء زي الزفت ومش بيحلو اي مشكلة,-1
والله العظيم سريع وقليل بحقه ٥ نجوم ورخيص,1
تطبيق سىء وهحذفه لانه الخدمه زفت,-1
Very nice,1
تطبيق سيء جدا بسبب خدمة العملاء حيث أنهم لا يعملون بشكل جيد وأسلوب سيء في التعامل مع الزبون بالإضافة إلى عدم حل المشكلة,-1
يرجى من إدارة البرنامج إعلام الناس بأن التطبيق قد وصل الحد الأقصى له ولا يمكن فتحه عند تنزيله لكي لا ينزله الناس ولا يعمل بمصداقية .,-1
تطبيق سيئ,-1
شكراا لإضافتكم غرب عبدالله المبارك نتمني زيادة المطاعم,0
مدري وش اقول لاكن ممتاز جدا,1
سرعة في ايصال الطلب,1
يوصل بسرعة البرق,1
خدمه جيده جدآ,1
اقزر اعلان شوفته فى حياتى ليه كده انا لا عايز سويفل بتاعتك ولا عايز اعلانكم ياخى اقرفتونى زهقت جدا من اعلانكم بتاع سويفل من فضلكم الغى الاعلان من عن دى,1
تطبيق زفت وكود الخصم مش بيظهر مش فاهمة ايه قلة الذوق دي,-1
ممممممتتتتتتاااااااااززززززز يوميا عليه,1
أّنِهِذّهِ حٌلَوِ جِمَيِّلَ,1
صباح الخير والورد والياسمين,1
necessarily,1
Thanks for servicing our order,1
جزاكم الله خير❤️ تم التعامل مع مشكلتي بكل رقي و صدارة رحب.. موفقين جميعاً,1
مو راضي يفتح,-1
الطلبات في غالب الاحيان تتأخر كثيرا 😐,0
اللهم بارك سريع وسهل,1
تطبيق ممتاز جدا شكرا,1
برنامج ممتاز جدا جدا جدا,1
واو تمام👌,1
اسوأ تطبيق في العالم,-1
ليه ما فيه منطقة نجران والله,-1
حلو بس مايوسل بسرعه,1
انصحكم بحذف التطبيق .. يسحبو مبلغ بدون سبب ولا يرجعونه والطلب لم يكتمل .. التطبيق صار سيئ جدا,-1
خدمه ممتازه جداًجداً واتمنى انها تدوم الخدمه .. والله يوفقكم يارب,1
So bad no care he's staff,-1
انا فكرت عنجد التوصيل مجاني طلعوا بزيدو الأسعار بشكل كبير جربو قارنوا الأسعار وشوفوا,-1
لماذا لا تضيفو محل البسبوسة,0
جميلل جداً💛💛💛💛💖😍😍..,1
اجمل موقع,1
برنامج كويس لاكن الناس الي شغاله فيه غير لائقين التكلم بسلوب غير محترم ومافيش كول سنتر,0
الطلب تاخر اكثر من ساعتين. اتصل على الخدمه الهاتفيه لا احد يرد على الاتصال.وفي دردشه البرنامج يقول انتظر دقائق انتظرت اكثر من 20 دقيقه ولا يرد .للعلم انا استعمل البرنامج يوميا ومنذ وقت طويل لكن الان اصبح سيء جدا,-1
حرام عليكم تضحكو على الشباب وتستغلو قدراتهم ومجهودهم وبالاخر تقولو الهم مالكو اشي لاكن عند الله مابروح حق,-1
واواواواواو,1
واو طبيق حلو,1
سيء جدا بسبب إلغاء الرحلة بشكل دائم تلقائي,-1
التطبيق حلو بس كنتاكي زي الزفت يحط الصلطةبيظة,1
Wow,1
واوو,1
والله حلو,1
من افضل التطبيقات الي جربتها,0
قمتم بإلغاء خاصية تتبع الطلب,0
عادي في اضم,-1
ما بيشمل جميع مناطق المملكة,-1
دليفري يا محترمين,1
أفضل برنامج              ❤,1
عث ٦ق ٦ قلبي,0
البرنامج حلو بس يجيب هدايا صدق ولا بس اعلان كذا بس زي جوالات ايبادات,1
سريعة في التوصيل وخيارات واضحة,1
اروع تطبيق واسرع تنفيذ,1
جزاكم الله خير على هالتطبيق الرائع جدا واتمنى لكم التطور الدائم 🌷,1
تطبيق رهيب للأمانة,1
سيئ سيئ سيئ,-1
أفضل تطبيق في الدهاريز,1
إنه تطبيق سيء جدا لا انصح اي شخص يقوم بتنزيله,-1
تجربه حلو,1
افضل برنامج اكلات في العالم,1
تطبيق سهل الاستخدام جدا جدا,1
Yyy,-1
سيء سيء سيء بيلغو الاردر بمزجهم ويبعتولي رساله تم وصول الاردر حاجه ذباله,-1
فكرة مبتكره وجديده,1
ممتاز والاكل يوصل حار,1
روعه ومحترمين وصادقين,1
جااامد,1
حبيت طلبات,1
فااااشل بكل ماتحمله الكلمه بجد و جايب اسماء أماكن اول مرة اسمع عنها اصلا و كمان مش بيوصل ف كل الأماكن ماهو لو انا قريبه من المطعم مش هفكر اطلب دليفرى يعني اكيد,-1
طاب فين مدينتي والرحاب,0
التطبيق جميل جدا بس لما اطلب يطول عشان يوصل وأحيانا يجي بارد,1
سيء جدا كانت المطاعم مجانا اللتي تبعد عني مسافه قليله لاتتجاوز دقيقه بالكثير والان صارت ب10 ريال التوصيل استغرب عندما يستدرجون المطاعم التي تطلب منها اكثر من مره لانه مجان بعدها يصير بفلوس عشره ريال اليس هذا نصب واحتيال نجمه كثيره عليكم راح امسح التطبيق والى الابد,-1
اتمنه يفتحون جميع مناطق العراق,-1
ححههههههحكككح٩٩٩ح٩٩٩٩٩٩حححح,-1
